STATE,YEAR,ozone
AL,2000,42.78037588378816
AL,2001,40.259290693910046
AL,2002,39.40370238832525
AL,2003,38.88691312735721
AL,2004,38.3531350275574
AL,2005,40.391547792336645
AL,2006,42.052694543365284
AL,2007,41.955336840768965
AL,2008,39.246295711178156
AL,2009,36.76415052672869
AL,2010,40.52800435740435
AL,2011,40.27546380463929
AL,2012,40.07677459576621
AL,2013,37.258943518117945
AL,2014,37.67307783160427
AL,2015,37.33138330614504
AL,2016,39.09839906604012
AR,2000,41.7976531041222
AR,2001,40.82654494725176
AR,2002,39.534203096075096
AR,2003,40.09623840987647
AR,2004,38.6815131196499
AR,2005,42.22106028169675
AR,2006,42.56660007805538
AR,2007,40.434121338176794
AR,2008,38.91545336417175
AR,2009,37.77677086705776
AR,2010,41.0226991405806
AR,2011,40.656375473712615
AR,2012,41.74878388673784
AR,2013,39.08994256085356
AR,2014,37.69457060932691
AR,2015,38.36291923254537
AR,2016,38.36810191496597
AZ,2000,47.215444042846805
AZ,2001,46.79669508732222
AZ,2002,47.572540332276304
AZ,2003,47.404363473030315
AZ,2004,46.338613249400225
AZ,2005,45.64399106000484
AZ,2006,46.86847544291533
AZ,2007,46.35774054970834
AZ,2008,46.94605014031892
AZ,2009,46.28242426173865
AZ,2010,46.15948559065596
AZ,2011,47.01431044427939
AZ,2012,47.41410997248241
AZ,2013,47.17101222391744
AZ,2014,46.79536268451422
AZ,2015,46.475094078203114
AZ,2016,47.09667874998398
CA,2000,39.560349729593014
CA,2001,40.24282585123835
CA,2002,41.73744861352877
CA,2003,41.51798652425008
CA,2004,41.47880166257763
CA,2005,39.84095934178713
CA,2006,41.34900228218917
CA,2007,40.58312516759881
CA,2008,42.14253512967448
CA,2009,40.75332245528026
CA,2010,39.57699814284107
CA,2011,40.27000591281606
CA,2012,41.285542642637516
CA,2013,40.8720349762634
CA,2014,41.84625369197741
CA,2015,42.55494992275807
CA,2016,42.32675163289519
CO,2000,43.841763708185674
CO,2001,43.48472440394333
CO,2002,44.69816800158105
CO,2003,45.09693540003722
CO,2004,43.01809882089274
CO,2005,44.5758031574534
CO,2006,46.28500853119477
CO,2007,44.7621704566779
CO,2008,45.72308804546353
CO,2009,44.17779539334451
CO,2010,45.17850760865099
CO,2011,47.377716319515955
CO,2012,47.073967546587646
CO,2013,46.07588228611064
CO,2014,44.98154783433715
CO,2015,45.25653683743821
CO,2016,46.09216394656319
CT,2000,36.162891084776184
CT,2001,39.50486634209571
CT,2002,39.73021377696659
CT,2003,37.94529089967603
CT,2004,36.22444686501877
CT,2005,38.495660330401414
CT,2006,37.29365045200007
CT,2007,38.40414830817246
CT,2008,37.421836599784726
CT,2009,36.57237829883207
CT,2010,39.47088435614529
CT,2011,38.37526932471902
CT,2012,38.88694481925246
CT,2013,40.23763146866282
CT,2014,39.524795136973175
CT,2015,40.15109333203973
CT,2016,39.60903348536145
DC,2000,37.124493030847596
DC,2001,41.02625384290978
DC,2002,41.21843876467238
DC,2003,36.594424000714355
DC,2004,37.5424621248177
DC,2005,38.366424688856384
DC,2006,38.93279096462378
DC,2007,40.92672563218334
DC,2008,38.97908272276164
DC,2009,37.321550264524895
DC,2010,43.1346559457773
DC,2011,40.47061275219412
DC,2012,40.5511206870703
DC,2013,39.85432649802057
DC,2014,40.157386171514254
DC,2015,40.5309502281036
DC,2016,40.194577224346794
DE,2000,38.39172901928024
DE,2001,40.112246159688944
DE,2002,40.86008142898718
DE,2003,38.84738908798136
DE,2004,38.546758715919175
DE,2005,39.40544250791288
DE,2006,39.815538047490094
DE,2007,40.24530033055278
DE,2008,40.02407983774489
DE,2009,38.20511468298271
DE,2010,42.575419726051365
DE,2011,40.60076427937226
DE,2012,40.42618390193606
DE,2013,40.15007156936233
DE,2014,40.424473662434316
DE,2015,40.72979360231456
DE,2016,40.3322523834622
FL,2000,41.08491546710581
FL,2001,38.1759902579993
FL,2002,36.912684363688946
FL,2003,36.542666412234546
FL,2004,38.77955115005779
FL,2005,38.41549697386352
FL,2006,40.54609329405367
FL,2007,39.24461615076086
FL,2008,37.2495063111414
FL,2009,37.50752175513188
FL,2010,38.55113309262858
FL,2011,37.990160857900236
FL,2012,36.52393401959002
FL,2013,35.709180884273174
FL,2014,36.628116544573274
FL,2015,35.05990855554842
FL,2016,36.71269153042512
GA,2000,43.80463717200136
GA,2001,41.931798863380884
GA,2002,40.63643056240703
GA,2003,39.5703226127205
GA,2004,40.19092691789145
GA,2005,41.34984193722502
GA,2006,42.722104138926476
GA,2007,43.3241947820247
GA,2008,41.04415849813475
GA,2009,38.11403087731278
GA,2010,41.16853336099408
GA,2011,41.583462830737595
GA,2012,40.069475232361455
GA,2013,37.419123456057285
GA,2014,38.45915336565647
GA,2015,37.802510462283806
GA,2016,40.0196573326501
IA,2000,36.82689266051062
IA,2001,36.6267275904786
IA,2002,37.14603827296558
IA,2003,37.36095865165147
IA,2004,35.311157684981254
IA,2005,37.798162631063576
IA,2006,37.09119133955671
IA,2007,37.57726068087655
IA,2008,36.62628495935902
IA,2009,36.267870979902675
IA,2010,38.174576164290954
IA,2011,38.10103790059882
IA,2012,39.45760857119194
IA,2013,38.3022404083133
IA,2014,37.107671866343445
IA,2015,37.86221408688178
IA,2016,36.452091675680435
ID,2000,42.1171512465382
ID,2001,42.290803406364326
ID,2002,43.272632127464334
ID,2003,43.13263188997002
ID,2004,41.854018907668696
ID,2005,41.71767137067341
ID,2006,43.351144018417095
ID,2007,42.78960848431282
ID,2008,42.499607505960775
ID,2009,41.8478593161049
ID,2010,41.25625133806664
ID,2011,42.16708482570543
ID,2012,42.562749424867924
ID,2013,41.273294238145425
ID,2014,41.183323307682336
ID,2015,42.38069049089307
ID,2016,41.2180442125002
IL,2000,36.726064438688944
IL,2001,37.65659014035166
IL,2002,37.82807145069749
IL,2003,37.37500030836772
IL,2004,35.54006614180056
IL,2005,38.52758903700628
IL,2006,36.67396476152799
IL,2007,38.497969476795824
IL,2008,36.49172185928048
IL,2009,35.71984169716368
IL,2010,38.39835487433111
IL,2011,38.32212285916685
IL,2012,39.20371188914983
IL,2013,37.36683969379625
IL,2014,37.102405421086125
IL,2015,37.90725965838915
IL,2016,37.57490844744583
IN,2000,38.339772941803226
IN,2001,39.350287277377355
IN,2002,39.730108090143
IN,2003,38.52922861591009
IN,2004,36.652844238584755
IN,2005,39.24789699633079
IN,2006,37.64648316188058
IN,2007,40.08116843291119
IN,2008,37.87867630228325
IN,2009,36.116007898326444
IN,2010,38.96861402380399
IN,2011,38.16885764365499
IN,2012,39.41752199164933
IN,2013,37.465768457004906
IN,2014,37.12813705923312
IN,2015,37.69029488672433
IN,2016,37.81999942688911
KS,2000,42.281375249623075
KS,2001,41.82301178311368
KS,2002,39.88040150791777
KS,2003,40.32811184532654
KS,2004,38.5766510183017
KS,2005,41.35196191897853
KS,2006,42.76039029213586
KS,2007,39.937845656579725
KS,2008,39.104930973882425
KS,2009,39.199560522580235
KS,2010,41.0321894227353
KS,2011,43.39401283475986
KS,2012,43.60531436674521
KS,2013,40.79418953971609
KS,2014,39.95415740410289
KS,2015,40.205429607484675
KS,2016,40.06772191413804
KY,2000,41.575244590663246
KY,2001,42.15887923413034
KY,2002,41.13823827728245
KY,2003,39.52170418164071
KY,2004,38.4048151144943
KY,2005,40.904186982270296
KY,2006,40.505170533894486
KY,2007,43.205681775511
KY,2008,40.859701874177055
KY,2009,37.94413488555377
KY,2010,42.13755703949435
KY,2011,40.77112896426759
KY,2012,41.43105925606864
KY,2013,38.53099608608833
KY,2014,38.82401892536338
KY,2015,39.25420460132348
KY,2016,39.78839523269037
LA,2000,42.05374129831271
LA,2001,39.85923364121963
LA,2002,38.20622513440059
LA,2003,39.86414932821038
LA,2004,38.68068509059455
LA,2005,42.077302194275795
LA,2006,42.46543516500794
LA,2007,39.24271231888217
LA,2008,38.60187598596222
LA,2009,38.21473899297179
LA,2010,40.673854157187904
LA,2011,41.730681863002815
LA,2012,40.36246488517885
LA,2013,38.0727799157915
LA,2014,37.13240046682612
LA,2015,37.549691376957725
LA,2016,37.9084128563451
MA,2000,33.65979808099198
MA,2001,37.10975701841876
MA,2002,37.83443699335255
MA,2003,36.70202560185837
MA,2004,35.59354727163857
MA,2005,36.92533510028184
MA,2006,35.7946177331658
MA,2007,36.5786265575448
MA,2008,36.5400012313416
MA,2009,36.51730517726019
MA,2010,38.860019379466536
MA,2011,38.05058534492531
MA,2012,38.06612759471736
MA,2013,39.50303585154826
MA,2014,38.45030967309248
MA,2015,38.95074731307327
