STATE,YEAR,no2
AL,2000,16.8662662682785
AL,2001,15.333638169342365
AL,2002,12.184326511895451
AL,2003,11.301918026030751
AL,2004,12.52825511355234
AL,2005,12.140389622666953
AL,2006,11.501213716165795
AL,2007,9.988088890530774
AL,2008,11.056300517291684
AL,2009,8.804404934609042
AL,2010,10.224850232037326
AL,2011,12.117551495630602
AL,2012,11.855998708272775
AL,2013,8.559289142924381
AL,2014,10.507101528590415
AL,2015,10.247519333012216
AL,2016,9.747791521115023
AR,2000,15.001143954910109
AR,2001,13.236442449882338
AR,2002,12.809551189684385
AR,2003,14.011980247663136
AR,2004,13.396589896284402
AR,2005,12.739373197176151
AR,2006,10.45696197043891
AR,2007,8.661292197013587
AR,2008,9.809081454649064
AR,2009,8.609111795461324
AR,2010,11.224597242184128
AR,2011,12.412446978232799
AR,2012,12.43232806630874
AR,2013,9.597790981576912
AR,2014,10.511400752604892
AR,2015,9.194618021164898
AR,2016,7.718351825772188
AZ,2000,36.9192712503973
AZ,2001,31.945499353627774
AZ,2002,30.196672353303388
AZ,2003,27.695414566113744
AZ,2004,28.386849980782557
AZ,2005,28.970127767771054
AZ,2006,26.553282060709023
AZ,2007,25.915683862679586
AZ,2008,28.87180467793599
AZ,2009,24.94586055846018
AZ,2010,22.667708718186553
AZ,2011,22.281974536481854
AZ,2012,23.824969166329577
AZ,2013,20.77586713818075
AZ,2014,23.65676082758447
AZ,2015,19.984061950553528
AZ,2016,17.189737043123177
CA,2000,32.137187460120195
CA,2001,31.13855486643563
CA,2002,30.75773188925486
CA,2003,29.099115163484154
CA,2004,26.36389508618416
CA,2005,25.235066432908397
CA,2006,24.100225782913366
CA,2007,23.39397235085427
CA,2008,24.390082019472906
CA,2009,22.110902240996527
CA,2010,20.64801161388331
CA,2011,20.229972768262797
CA,2012,19.055935632428533
CA,2013,19.15336458681996
CA,2014,18.99742424649693
CA,2015,17.927894643981894
CA,2016,13.671397496808085
CO,2000,23.793184098566023
CO,2001,31.775321270153945
CO,2002,41.735452998769325
CO,2003,40.878646580556385
CO,2004,33.43419507851004
CO,2005,30.763429446222684
CO,2006,33.919864327336725
CO,2007,25.870835076280457
CO,2008,22.010078356253405
CO,2009,20.004762934667767
CO,2010,21.114470173765355
CO,2011,18.453791195607558
CO,2012,21.464762323199974
CO,2013,23.443660994121387
CO,2014,24.56919382049976
CO,2015,22.400457132081705
CO,2016,17.62522099173852
CT,2000,26.60342016738322
CT,2001,30.02552642975427
CT,2002,29.721095026574915
CT,2003,29.293539792005436
CT,2004,23.693372324011094
CT,2005,24.741560216341448
CT,2006,22.675524273499068
CT,2007,20.63422177573468
CT,2008,19.210782302633156
CT,2009,17.63843172975752
CT,2010,17.62249603207053
CT,2011,21.236531307289205
CT,2012,18.235902505491214
CT,2013,18.34205445526901
CT,2014,18.21115691156478
CT,2015,21.541247648271515
CT,2016,18.73767842289408
DC,2000,33.610478766719105
DC,2001,41.69383866420131
DC,2002,35.50263041054276
DC,2003,45.02296533860962
DC,2004,39.2083014658424
DC,2005,37.193122415766794
DC,2006,29.44766452748522
DC,2007,32.71842668636758
DC,2008,32.68659823264701
DC,2009,29.80447530625169
DC,2010,31.575304637251072
DC,2011,32.44862841020287
DC,2012,26.718963580990568
DC,2013,23.826339278352464
DC,2014,27.398748743652583
DC,2015,18.886939130402432
DC,2016,15.630685622782726
DE,2000,29.99695663221877
DE,2001,29.864830229736803
DE,2002,27.424648023066794
DE,2003,27.420718653955618
DE,2004,24.31253848570877
DE,2005,26.38124941395602
DE,2006,24.195193988248462
DE,2007,21.65141918489682
DE,2008,22.418077060694852
DE,2009,19.872485389384572
DE,2010,19.43278471544523
DE,2011,20.44368003799564
DE,2012,18.066302106691957
DE,2013,14.482703492747147
DE,2014,14.320546554942824
DE,2015,18.989845215453116
DE,2016,16.33467322478921
FL,2000,23.710460765901086
FL,2001,21.911109352656183
FL,2002,19.859234519363397
FL,2003,18.391805723242534
FL,2004,18.5792054036473
FL,2005,17.239519048232435
FL,2006,17.481679697806687
FL,2007,14.074073732498388
FL,2008,13.950693374993635
FL,2009,12.91735134404643
FL,2010,13.591579578650652
FL,2011,13.234008969537722
FL,2012,12.511483248948274
FL,2013,10.823399227376862
FL,2014,12.358711930248976
FL,2015,11.769270459660387
FL,2016,12.719225349515877
GA,2000,21.321137074958298
GA,2001,19.692935455554665
GA,2002,17.083898886762228
GA,2003,16.13565031661818
GA,2004,16.623751272667175
GA,2005,16.22349477190934
GA,2006,15.543887919782645
GA,2007,14.426560402846622
GA,2008,14.707861508805133
GA,2009,11.151492514612308
GA,2010,13.874213498394266
GA,2011,16.25344705468711
GA,2012,14.89402256412072
GA,2013,11.677350371911501
GA,2014,11.462028230008444
GA,2015,12.778986600787485
GA,2016,11.892047170924245
IA,2000,15.583924285035392
IA,2001,16.427817998049555
IA,2002,13.911752058869423
IA,2003,16.573307598384677
IA,2004,11.23436599228325
IA,2005,13.59226504265176
IA,2006,13.95098936331929
IA,2007,9.609076007586557
IA,2008,12.163141995260352
IA,2009,11.540334075508481
IA,2010,13.593739217823035
IA,2011,10.533866509904561
IA,2012,12.634745586209425
IA,2013,12.546630836460839
IA,2014,13.150734199187495
IA,2015,10.880989204887346
IA,2016,9.643261613876211
ID,2000,22.49685614832383
ID,2001,23.30481214059076
ID,2002,23.412402939872223
ID,2003,19.806007090846293
ID,2004,16.81651635620063
ID,2005,17.113165224666606
ID,2006,13.773421034336089
ID,2007,10.922240828920446
ID,2008,16.214756229146072
ID,2009,14.348550326536346
ID,2010,11.82812664481568
ID,2011,9.20212902262316
ID,2012,12.046119413007263
ID,2013,11.537581349506588
ID,2014,12.878654406592865
ID,2015,13.909174125326333
ID,2016,9.551553154448113
IL,2000,25.141255749925012
IL,2001,26.050094439282223
IL,2002,23.44222969251349
IL,2003,26.279504783655295
IL,2004,20.508918320051762
IL,2005,22.547018407951427
IL,2006,21.08356787794313
IL,2007,18.672553895897646
IL,2008,19.890798195022317
IL,2009,17.610709165586155
IL,2010,20.074441339231832
IL,2011,17.584334241294403
IL,2012,20.086099716342865
IL,2013,18.408264676091
IL,2014,19.208891103718017
IL,2015,17.018783395152013
IL,2016,15.304243865859776
IN,2000,23.460582093672713
IN,2001,23.146323314518884
IN,2002,21.81822666270195
IN,2003,22.885342743085552
IN,2004,16.58704659789054
IN,2005,19.62558088612471
IN,2006,16.141687004349286
IN,2007,14.101572316725065
IN,2008,14.912243849676816
IN,2009,14.534625210225547
IN,2010,17.579520139285197
IN,2011,15.2114437068888
IN,2012,17.352509101217198
IN,2013,15.398795243895426
IN,2014,15.94108547930719
IN,2015,15.277166984942149
IN,2016,13.887823781455817
KS,2000,15.423904803304755
KS,2001,15.119546658880232
KS,2002,15.779712249172034
KS,2003,17.225093541884586
KS,2004,16.611043741465398
KS,2005,18.080252794765094
KS,2006,16.72284581050102
KS,2007,13.418458136553083
KS,2008,12.083575696837197
KS,2009,12.805793001248004
KS,2010,13.65207309359913
KS,2011,12.782660511187554
KS,2012,14.245678570665346
KS,2013,13.929812530252256
KS,2014,13.549778593435132
KS,2015,11.807877095348726
KS,2016,10.223520204758605
KY,2000,17.55114874420673
KY,2001,18.092013053805523
KY,2002,18.34245006722594
KY,2003,16.868838052748224
KY,2004,18.043257857969753
KY,2005,15.788522355405863
KY,2006,13.636378912533916
KY,2007,12.718165801496133
KY,2008,13.154993098504445
KY,2009,10.170721961007496
KY,2010,10.585053099500012
KY,2011,11.485807048276078
KY,2012,12.874764573716044
KY,2013,10.139458802830834
KY,2014,11.774989647119545
KY,2015,9.693496429669953
KY,2016,8.28400858052043
LA,2000,19.94819551836952
LA,2001,19.585957379556167
LA,2002,16.025944823559964
LA,2003,16.54095408467037
LA,2004,16.522560435419628
LA,2005,16.42796727880015
LA,2006,14.785097685168935
LA,2007,12.841324432427514
LA,2008,14.046453991859165
LA,2009,12.483873280997305
LA,2010,13.624326826308508
LA,2011,14.691917642611665
LA,2012,12.572538375442955
LA,2013,11.587426188573179
LA,2014,12.036393207329944
LA,2015,11.376494809877292
LA,2016,11.630822796775679
MA,2000,24.43759364130492
MA,2001,24.754334025500334
MA,2002,24.231809495548536
MA,2003,24.46442594033974
MA,2004,21.32244332218999
MA,2005,20.729607256278832
MA,2006,19.234737135626723
MA,2007,18.77211269373127
