index,state,year,coal
1650,AL,2000,85.90808281573183
1652,AZ,2000,41.21543763333334
1653,AR,2000,25.48111346
1654,CA,2000,6.627689933333333
1655,CO,2000,36.94132332
1656,CT,2000,3.45280122
1657,DE,2000,4.772865748584232
1658,DC,2000,0.016874
1659,FL,2000,72.41113564666666
1660,GA,2000,78.02320787378736
1662,ID,2000,1.296436093333333
1663,IL,2000,96.59995101921648
1664,IN,2000,151.1902619367924
1665,IA,2000,42.42212172
1666,KS,2000,34.55721052666667
1667,KY,2000,94.9185719900065
1668,LA,2000,24.12461106
1669,ME,2000,0.9457912199999999
1670,MD,2000,29.71872882
1671,MA,2000,10.92113696666667
1672,MI,2000,75.98493254086941
1673,MN,2000,35.57029632838351
1674,MS,2000,14.04578318
1675,MO,2000,65.60622588666666
1676,MT,2000,16.83763466
1677,NE,2000,19.70556588
1678,NV,2000,18.9843005
1679,NH,2000,4.194495873333334
1680,NJ,2000,10.92929889333333
1681,NM,2000,29.10159750666666
1682,NY,2000,31.38888062956802
1683,NC,2000,74.84428079333333
1684,ND,2000,40.35996065956153
1685,OH,2000,135.887262416566
1686,OK,2000,36.29003921612784
1687,OR,2000,3.686561999999999
1688,PA,2000,143.0242817022964
1689,RI,2000,0.004957333333333333
1690,SC,2000,41.12668538
1691,SD,2000,4.809381133333334
1692,TN,2000,67.08733151289486
1693,TX,2000,147.4156964866666
1694,UT,2000,38.29370837592925
1695,VT,2000,0.002478666666666666
1696,VA,2000,48.15199200341011
1697,WA,2000,10.11798326
1698,WV,2000,92.99221706876374
1699,WI,2000,47.52204661505018
1700,WY,2000,48.18191004
1705,AL,2001,80.07037247735445
1707,AZ,2001,40.38963005
1708,AR,2001,26.09598141333333
1709,CA,2001,6.406672873333333
1710,CO,2001,38.11279974333333
1711,CT,2001,3.811008996666666
1712,DE,2001,3.647584760839907
1713,DC,2001,0.07061482999999999
1714,FL,2001,69.13741688333332
1715,GA,2001,73.50685851997852
1717,ID,2001,1.07222709
1718,IL,2001,93.54939246953643
1719,IN,2001,148.7207982872967
1720,IA,2001,42.23056093666666
1721,KS,2001,33.79186231666666
1722,KY,2001,96.41322679354477
1723,LA,2001,22.86777738666666
1724,ME,2001,0.7464681766666665
1725,MD,2001,30.34352079
1726,MA,2001,10.38684944
1727,MI,2001,75.05673990802372
1728,MN,2001,33.63826768558901
1729,MS,2001,18.89030524333333
