index,state,year,no2
1,AL,2000,16.8662662682785
2,AL,2001,15.333638169342365
3,AL,2002,12.184326511895451
4,AL,2003,11.301918026030751
5,AL,2004,12.52825511355234
6,AL,2005,12.140389622666953
7,AL,2006,11.501213716165795
8,AL,2007,9.988088890530774
9,AL,2008,11.056300517291684
10,AL,2009,8.804404934609042
11,AL,2010,10.224850232037326
12,AL,2011,12.117551495630602
13,AL,2012,11.855998708272775
14,AL,2013,8.559289142924381
15,AL,2014,10.507101528590415
16,AL,2015,10.247519333012216
17,AL,2016,9.747791521115023
18,AR,2000,15.001143954910109
19,AR,2001,13.236442449882338
20,AR,2002,12.809551189684385
21,AR,2003,14.011980247663136
22,AR,2004,13.396589896284402
23,AR,2005,12.739373197176151
24,AR,2006,10.45696197043891
25,AR,2007,8.661292197013587
26,AR,2008,9.809081454649064
27,AR,2009,8.609111795461324
28,AR,2010,11.224597242184128
29,AR,2011,12.412446978232799
30,AR,2012,12.43232806630874
31,AR,2013,9.597790981576912
32,AR,2014,10.511400752604892
33,AR,2015,9.194618021164898
34,AR,2016,7.718351825772188
35,AZ,2000,36.9192712503973
36,AZ,2001,31.945499353627774
37,AZ,2002,30.196672353303388
38,AZ,2003,27.695414566113744
39,AZ,2004,28.386849980782557
40,AZ,2005,28.970127767771054
41,AZ,2006,26.553282060709023
42,AZ,2007,25.915683862679586
43,AZ,2008,28.87180467793599
44,AZ,2009,24.94586055846018
45,AZ,2010,22.667708718186553
46,AZ,2011,22.281974536481854
47,AZ,2012,23.824969166329577
48,AZ,2013,20.77586713818075
49,AZ,2014,23.65676082758447
50,AZ,2015,19.984061950553528
51,AZ,2016,17.189737043123177
52,CA,2000,32.137187460120195
53,CA,2001,31.13855486643563
54,CA,2002,30.75773188925486
55,CA,2003,29.099115163484154
56,CA,2004,26.36389508618416
57,CA,2005,25.235066432908397
58,CA,2006,24.100225782913366
59,CA,2007,23.39397235085427
60,CA,2008,24.390082019472906
61,CA,2009,22.110902240996527
62,CA,2010,20.64801161388331
63,CA,2011,20.229972768262797
64,CA,2012,19.055935632428533
65,CA,2013,19.15336458681996
66,CA,2014,18.99742424649693
67,CA,2015,17.927894643981894
68,CA,2016,13.671397496808085
69,CO,2000,23.793184098566023
70,CO,2001,31.775321270153945
71,CO,2002,41.735452998769325
72,CO,2003,40.878646580556385
73,CO,2004,33.43419507851004
74,CO,2005,30.763429446222684
75,CO,2006,33.919864327336725
76,CO,2007,25.870835076280457
77,CO,2008,22.010078356253405
78,CO,2009,20.004762934667767
79,CO,2010,21.114470173765355
80,CO,2011,18.453791195607558
81,CO,2012,21.464762323199974
82,CO,2013,23.443660994121387
83,CO,2014,24.56919382049976
84,CO,2015,22.400457132081705
85,CO,2016,17.62522099173852
86,CT,2000,26.60342016738322
87,CT,2001,30.02552642975427
88,CT,2002,29.721095026574915
89,CT,2003,29.293539792005436
90,CT,2004,23.693372324011094
91,CT,2005,24.741560216341448
92,CT,2006,22.675524273499068
93,CT,2007,20.63422177573468
94,CT,2008,19.210782302633156
95,CT,2009,17.63843172975752
96,CT,2010,17.62249603207053
97,CT,2011,21.236531307289205
98,CT,2012,18.235902505491214
99,CT,2013,18.34205445526901
100,CT,2014,18.21115691156478
101,CT,2015,21.541247648271515
102,CT,2016,18.73767842289408
103,DC,2000,33.610478766719105
104,DC,2001,41.69383866420131
105,DC,2002,35.50263041054276
106,DC,2003,45.02296533860962
107,DC,2004,39.2083014658424
108,DC,2005,37.193122415766794
109,DC,2006,29.44766452748522
110,DC,2007,32.71842668636758
111,DC,2008,32.68659823264701
112,DC,2009,29.80447530625169
113,DC,2010,31.575304637251072
114,DC,2011,32.44862841020287
115,DC,2012,26.718963580990568
116,DC,2013,23.826339278352464
117,DC,2014,27.398748743652583
118,DC,2015,18.886939130402432
119,DC,2016,15.630685622782726
120,DE,2000,29.99695663221877
121,DE,2001,29.864830229736803
122,DE,2002,27.424648023066794
123,DE,2003,27.420718653955618
124,DE,2004,24.31253848570877
125,DE,2005,26.38124941395602
126,DE,2006,24.195193988248462
127,DE,2007,21.65141918489682
128,DE,2008,22.418077060694852
129,DE,2009,19.872485389384572
130,DE,2010,19.43278471544523
131,DE,2011,20.44368003799564
132,DE,2012,18.066302106691957
133,DE,2013,14.482703492747147
134,DE,2014,14.320546554942824
135,DE,2015,18.989845215453116
136,DE,2016,16.33467322478921
137,FL,2000,23.710460765901086
138,FL,2001,21.911109352656183
139,FL,2002,19.859234519363397
140,FL,2003,18.391805723242534
141,FL,2004,18.5792054036473
142,FL,2005,17.239519048232435
143,FL,2006,17.481679697806687
144,FL,2007,14.074073732498388
145,FL,2008,13.950693374993635
146,FL,2009,12.91735134404643
147,FL,2010,13.591579578650652
148,FL,2011,13.234008969537722
149,FL,2012,12.511483248948274
150,FL,2013,10.823399227376862
151,FL,2014,12.358711930248976
152,FL,2015,11.769270459660387
153,FL,2016,12.719225349515877
154,GA,2000,21.321137074958298
155,GA,2001,19.692935455554665
156,GA,2002,17.083898886762228
157,GA,2003,16.13565031661818
158,GA,2004,16.623751272667175
159,GA,2005,16.22349477190934
160,GA,2006,15.543887919782645
161,GA,2007,14.426560402846622
162,GA,2008,14.707861508805133
163,GA,2009,11.151492514612308
164,GA,2010,13.874213498394266
165,GA,2011,16.25344705468711
166,GA,2012,14.89402256412072
167,GA,2013,11.677350371911501
168,GA,2014,11.462028230008444
169,GA,2015,12.778986600787485
170,GA,2016,11.892047170924245
171,IA,2000,15.583924285035392
172,IA,2001,16.427817998049555
173,IA,2002,13.911752058869423
174,IA,2003,16.573307598384677
175,IA,2004,11.23436599228325
176,IA,2005,13.59226504265176
177,IA,2006,13.95098936331929
178,IA,2007,9.609076007586557
179,IA,2008,12.163141995260352
180,IA,2009,11.540334075508481
181,IA,2010,13.593739217823035
182,IA,2011,10.533866509904561
183,IA,2012,12.634745586209425
184,IA,2013,12.546630836460839
185,IA,2014,13.150734199187495
186,IA,2015,10.880989204887346
187,IA,2016,9.643261613876211
188,ID,2000,22.49685614832383
189,ID,2001,23.30481214059076
190,ID,2002,23.412402939872223
191,ID,2003,19.806007090846293
192,ID,2004,16.81651635620063
193,ID,2005,17.113165224666606
194,ID,2006,13.773421034336089
