index,state,year,population
0,AL,2000,86.28417415342086
1,AL,2001,87.90942837397571
2,AL,2002,88.21471023793069
3,AL,2003,88.46063777273176
4,AL,2004,88.92271695132787
5,AL,2005,89.4605390463027
6,AL,2006,90.23210583473195
7,AL,2007,91.40055286800276
8,AL,2008,92.26656135847567
9,AL,2009,93.16232599466878
10,AL,2010,93.94684569059137
11,AL,2011,94.49134169217099
12,AL,2012,94.77030309013723
13,AL,2013,95.1057754961003
14,AL,2014,95.40104650014808
15,AL,2015,95.640971468062
16,AL,2016,95.85947280086879
17,AZ,2000,5.453633114425058
18,AZ,2001,5.528135288835678
19,AZ,2002,5.578762962832544
20,AZ,2003,5.654673662341321
21,AZ,2004,5.708171206225681
22,AZ,2005,5.803880486645421
23,AZ,2006,5.871313625719668
24,AZ,2007,5.9448738489708965
25,AZ,2008,5.988872651724563
26,AZ,2009,6.051860133457753
27,AZ,2010,6.15256967797595
28,AZ,2011,6.2853847914502525
29,AZ,2012,6.359041850801979
30,AZ,2013,6.4335264186488725
31,AZ,2014,6.493529587830343
32,AZ,2015,6.488678979523566
33,AZ,2016,6.50060742644858
34,AR,2000,91.82919189007399
35,AR,2001,99.17528586528299
36,AR,2002,101.34480638032093
37,AR,2003,103.70433362160085
38,AR,2004,105.89726145863361
39,AR,2005,108.62696262131257
40,AR,2006,112.21441337561257
41,AR,2007,115.86703180551552
42,AR,2008,118.52947054866917
43,AR,2009,120.6949553185356
44,AR,2010,121.90168156048813
45,AR,2011,123.13523589891419
46,AR,2012,124.40503507254732
47,AR,2013,125.9987316229461
48,AR,2014,127.50437205726915
49,AR,2015,129.39123666762757
50,AR,2016,131.31180935908523
51,CA,2000,16.378157518022327
52,CA,2001,17.194795190622614
53,CA,2002,17.278137618035807
54,CA,2003,17.370293813671932
55,CA,2004,17.491548925079762
56,CA,2005,17.651198171768982
57,CA,2006,17.85283639001406
58,CA,2007,18.11387285834419
59,CA,2008,18.286482773672958
60,CA,2009,18.452769628768962
61,CA,2010,18.595850531843187
62,CA,2011,18.757329293422092
63,CA,2012,18.879553726753926
64,CA,2013,18.955545997855936
65,CA,2014,19.004223932622498
66,CA,2015,19.05750454169047
67,CA,2016,19.12794407461853
68,CO,2000,319.8039501360452
69,CO,2001,327.9363289014106
70,CO,2002,332.6784315238996
71,CO,2003,336.4643966731634
72,CO,2004,340.1435614905154
73,CO,2005,343.24478493274927
74,CO,2006,345.68942127708846
75,CO,2007,347.55409968931514
76,CO,2008,349.7646803419463
77,CO,2009,353.18053491827635
78,CO,2010,356.62404237664265
79,CO,2011,360.08133768163486
80,CO,2012,363.1376372513074
81,CO,2013,366.11172111692173
82,CO,2014,369.0952316628394
83,CO,2015,372.30761660330757
84,CO,2016,375.37191486077074
85,CT,2000,837.6978521272201
86,CT,2001,893.6226765799256
87,CT,2002,914.0204460966543
88,CT,2003,927.3866171003717
89,CT,2004,935.301941346551
90,CT,2005,944.8601817430814
91,CT,2006,956.606361007848
92,CT,2007,974.891160677406
93,CT,2008,992.124741842214
94,CT,2009,1009.8574969021066
95,CT,2010,1026.8886823626601
96,CT,2011,1042.4491945477075
97,CT,2012,1057.806691449814
98,CT,2013,1072.6270136307312
99,CT,2014,1088.5530772408097
100,CT,2015,1105.4599339116069
101,CT,2016,1126.4617926476662
102,DE,2000,1683.9563878912263
103,DE,2001,1750.5269368907132
104,DE,2002,1761.3314520266804
105,DE,2003,1774.627501282709
106,DE,2004,1787.7557721908672
107,DE,2005,1793.7886095433555
108,DE,2006,1799.3617239610057
109,DE,2007,1804.7511544381734
110,DE,2008,1809.7845048742945
111,DE,2009,1819.178553104156
112,DE,2010,1827.50487429451
113,DE,2011,1836.4150846587993
114,DE,2012,1841.2683427398665
115,DE,2013,1844.6439199589533
116,DE,2014,1844.9420215495127
117,DE,2015,1844.8932786044124
118,DE,2016,1841.2319138019498
119,DC,2000,12353.081967213115
120,DC,2001,12891.360655737704
121,DC,2002,13044.245901639344
122,DC,2003,13215.88524590164
123,DC,2004,13409.88524590164
124,DC,2005,13619.72131147541
125,DC,2006,13854.918032786885
126,DC,2007,14086.360655737704
127,DC,2008,14290.967213114754
128,DC,2009,14489.737704918032
129,DC,2010,14618.524590163934
130,DC,2011,14748.311475409837
131,DC,2012,14878.524590163934
132,DC,2013,15008.491803278688
133,DC,2014,15148.557377049181
134,DC,2015,15297.22950819672
135,DC,2016,15443.688524590163
136,FL,2000,9.678321678321678
137,FL,2001,10.667524475524475
138,FL,2002,10.713361305361305
139,FL,2003,10.688261072261072
140,FL,2004,10.601435897435897
141,FL,2005,10.58748717948718
142,FL,2006,10.575962703962704
143,FL,2007,10.64206993006993
144,FL,2008,10.711496503496504
145,FL,2009,10.820251748251748
146,FL,2010,11.043878787878787
147,FL,2011,11.287310023310024
148,FL,2012,11.567179487179487
149,FL,2013,11.855235431235432
150,FL,2014,12.150284382284383
151,FL,2015,12.374881118881119
152,FL,2016,12.624969696969696
153,GA,2000,262.74484029697635
154,GA,2001,279.02413367412584
155,GA,2002,284.4046737259402
156,GA,2003,290.1843061568689
157,GA,2004,295.6563733416793
158,GA,2005,302.80663502164725
159,GA,2006,310.22617495175007
160,GA,2007,315.8762366769252
161,GA,2008,319.36852537687133
162,GA,2009,322.14116808373757
163,GA,2010,324.3204840644724
