,State,Year,Population,Land Area,Population Density
0,AL,2000,4369862,50645,86.28417415342086
1,AL,2001,4452173,50645,87.90942837397571
2,AL,2002,4467634,50645,88.21471023793069
3,AL,2003,4480089,50645,88.46063777273176
4,AL,2004,4503491,50645,88.92271695132787
5,AL,2005,4530729,50645,89.4605390463027
6,AL,2006,4569805,50645,90.23210583473195
7,AL,2007,4628981,50645,91.40055286800276
8,AL,2008,4672840,50645,92.26656135847567
9,AL,2009,4718206,50645,93.16232599466878
10,AL,2010,4757938,50645,93.94684569059137
11,AL,2011,4785514,50645,94.49134169217099
12,AL,2012,4799642,50645,94.77030309013723
13,AL,2013,4816632,50645,95.1057754961003
14,AL,2014,4831586,50645,95.40104650014808
15,AL,2015,4843737,50645,95.640971468062
16,AL,2016,4854803,50645,95.85947280086879
17,AZ,2000,619500,113594,5.453633114425058
18,AZ,2001,627963,113594,5.528135288835678
19,AZ,2002,633714,113594,5.578762962832544
20,AZ,2003,642337,113594,5.654673662341321
21,AZ,2004,648414,113594,5.708171206225681
22,AZ,2005,659286,113594,5.803880486645421
23,AZ,2006,666946,113594,5.871313625719668
24,AZ,2007,675302,113594,5.9448738489708965
25,AZ,2008,680300,113594,5.988872651724563
26,AZ,2009,687455,113594,6.051860133457753
27,AZ,2010,698895,113594,6.15256967797595
28,AZ,2011,713982,113594,6.2853847914502525
29,AZ,2012,722349,113594,6.359041850801979
30,AZ,2013,730810,113594,6.4335264186488725
31,AZ,2014,737626,113594,6.493529587830343
32,AZ,2015,737075,113594,6.488678979523566
33,AZ,2016,738430,113594,6.50060742644858
34,AR,2000,4778332,52035,91.82919189007399
35,AR,2001,5160586,52035,99.17528586528299
36,AR,2002,5273477,52035,101.34480638032093
37,AR,2003,5396255,52035,103.70433362160085
38,AR,2004,5510364,52035,105.89726145863361
39,AR,2005,5652404,52035,108.62696262131257
40,AR,2006,5839077,52035,112.21441337561257
41,AR,2007,6029141,52035,115.86703180551552
42,AR,2008,6167681,52035,118.52947054866917
43,AR,2009,6280362,52035,120.6949553185356
44,AR,2010,6343154,52035,121.90168156048813
45,AR,2011,6407342,52035,123.13523589891419
46,AR,2012,6473416,52035,124.40503507254732
47,AR,2013,6556344,52035,125.9987316229461
48,AR,2014,6634690,52035,127.50437205726915
49,AR,2015,6732873,52035,129.39123666762757
50,AR,2016,6832810,52035,131.31180935908523
51,CA,2000,2551373,155779,16.378157518022327
52,CA,2001,2678588,155779,17.194795190622614
53,CA,2002,2691571,155779,17.278137618035807
54,CA,2003,2705927,155779,17.370293813671932
55,CA,2004,2724816,155779,17.491548925079762
56,CA,2005,2749686,155779,17.651198171768982
57,CA,2006,2781097,155779,17.85283639001406
58,CA,2007,2821761,155779,18.11387285834419
59,CA,2008,2848650,155779,18.286482773672958
60,CA,2009,2874554,155779,18.452769628768962
61,CA,2010,2896843,155779,18.595850531843187
62,CA,2011,2921998,155779,18.757329293422092
63,CA,2012,2941038,155779,18.879553726753926
64,CA,2013,2952876,155779,18.955545997855936
65,CA,2014,2960459,155779,19.004223932622498
66,CA,2015,2968759,155779,19.05750454169047
67,CA,2016,2979732,155779,19.12794407461853
68,CO,2000,33145121,103642,319.8039501360452
69,CO,2001,33987977,103642,327.9363289014106
70,CO,2002,34479458,103642,332.6784315238996
71,CO,2003,34871843,103642,336.4643966731634
72,CO,2004,35253159,103642,340.1435614905154
73,CO,2005,35574576,103642,343.24478493274927
74,CO,2006,35827943,103642,345.68942127708846
75,CO,2007,36021202,103642,347.55409968931514
76,CO,2008,36250311,103642,349.7646803419463
77,CO,2009,36604337,103642,353.18053491827635
78,CO,2010,36961229,103642,356.62404237664265
79,CO,2011,37319550,103642,360.08133768163486
80,CO,2012,37636311,103642,363.1376372513074
81,CO,2013,37944551,103642,366.11172111692173
82,CO,2014,38253768,103642,369.0952316628394
83,CO,2015,38586706,103642,372.30761660330757
84,CO,2016,38904296,103642,375.37191486077074
85,CT,2000,4056133,4842,837.6978521272201
86,CT,2001,4326921,4842,893.6226765799256
87,CT,2002,4425687,4842,914.0204460966543
88,CT,2003,4490406,4842,927.3866171003717
89,CT,2004,4528732,4842,935.301941346551
90,CT,2005,4575013,4842,944.8601817430814
91,CT,2006,4631888,4842,956.606361007848
92,CT,2007,4720423,4842,974.891160677406
93,CT,2008,4803868,4842,992.124741842214
94,CT,2009,4889730,4842,1009.8574969021066
95,CT,2010,4972195,4842,1026.8886823626601
96,CT,2011,5047539,4842,1042.4491945477075
97,CT,2012,5121900,4842,1057.806691449814
98,CT,2013,5193660,4842,1072.6270136307312
99,CT,2014,5270774,4842,1088.5530772408097
100,CT,2015,5352637,4842,1105.4599339116069
101,CT,2016,5454328,4842,1126.4617926476662
102,DE,2000,3282031,1949,1683.9563878912263
103,DE,2001,3411777,1949,1750.5269368907132
104,DE,2002,3432835,1949,1761.3314520266804
105,DE,2003,3458749,1949,1774.627501282709
106,DE,2004,3484336,1949,1787.7557721908672
107,DE,2005,3496094,1949,1793.7886095433555
108,DE,2006,3506956,1949,1799.3617239610057
109,DE,2007,3517460,1949,1804.7511544381734
110,DE,2008,3527270,1949,1809.7845048742945
111,DE,2009,3545579,1949,1819.178553104156
112,DE,2010,3561807,1949,1827.50487429451
113,DE,2011,3579173,1949,1836.4150846587993
114,DE,2012,3588632,1949,1841.2683427398665
115,DE,2013,3595211,1949,1844.6439199589533
116,DE,2014,3595792,1949,1844.9420215495127
117,DE,2015,3595697,1949,1844.8932786044124
118,DE,2016,3588561,1949,1841.2319138019498
119,DC,2000,753538,61,12353.081967213115
120,DC,2001,786373,61,12891.360655737704
121,DC,2002,795699,61,13044.245901639344
122,DC,2003,806169,61,13215.88524590164
123,DC,2004,818003,61,13409.88524590164
124,DC,2005,830803,61,13619.72131147541
125,DC,2006,845150,61,13854.918032786885
126,DC,2007,859268,61,14086.360655737704
127,DC,2008,871749,61,14290.967213114754
128,DC,2009,883874,61,14489.737704918032
129,DC,2010,891730,61,14618.524590163934
130,DC,2011,899647,61,14748.311475409837
131,DC,2012,907590,61,14878.524590163934
132,DC,2013,915518,61,15008.491803278688
133,DC,2014,924062,61,15148.557377049181
134,DC,2015,933131,61,15297.22950819672
135,DC,2016,942065,61,15443.688524590163
136,FL,2000,519000,53625,9.678321678321678
137,FL,2001,572046,53625,10.667524475524475
138,FL,2002,574504,53625,10.713361305361305
139,FL,2003,573158,53625,10.688261072261072
140,FL,2004,568502,53625,10.601435897435897
141,FL,2005,567754,53625,10.58748717948718
142,FL,2006,567136,53625,10.575962703962704
143,FL,2007,570681,53625,10.64206993006993
144,FL,2008,574404,53625,10.711496503496504
145,FL,2009,580236,53625,10.820251748251748
146,FL,2010,592228,53625,11.043878787878787
147,FL,2011,605282,53625,11.287310023310024
148,FL,2012,620290,53625,11.567179487179487
149,FL,2013,635737,53625,11.855235431235432
150,FL,2014,651559,53625,12.150284382284383
151,FL,2015,663603,53625,12.374881118881119
152,FL,2016,677014,53625,12.624969696969696
153,GA,2000,15111244,57513,262.74484029697635
154,GA,2001,16047515,57513,279.02413367412584
155,GA,2002,16356966,57513,284.4046737259402
156,GA,2003,16689370,57513,290.1843061568689
157,GA,2004,17004085,57513,295.6563733416793
158,GA,2005,17415318,57513,302.80663502164725
159,GA,2006,17842038,57513,310.22617495175007
160,GA,2007,18166990,57513,315.8762366769252
161,GA,2008,18367842,57513,319.36852537687133
162,GA,2009,18527305,57513,322.14116808373757
163,GA,2010,18652644,57513,324.3204840644724
164,GA,2011,18846143,57513,327.68492340862065
165,GA,2012,19055607,57513,331.32695216733606
166,GA,2013,19302016,57513,335.6113574322327
167,GA,2014,19551678,57513,339.9523238224401
168,GA,2015,19853880,57513,345.2068228052788
169,GA,2016,20219111,57513,351.55723053918246
170,ID,2000,7788240,82643,94.23956051934223
171,ID,2001,8227303,82643,99.55232748085137
172,ID,2002,8377038,82643,101.36415667388647
173,ID,2003,8508256,82643,102.95192575293733
174,ID,2004,8622793,82643,104.33785075565989
175,ID,2005,8769252,82643,106.11003956777948
176,ID,2006,8925922,82643,108.0057839139431
177,ID,2007,9155813,82643,110.78751981414034
178,ID,2008,9349988,82643,113.13708360054693
179,ID,2009,9504843,82643,115.01086601406048
180,ID,2010,9620846,82643,116.41452996624034
181,ID,2011,9712209,82643,117.52004404486769
182,ID,2012,9803630,82643,118.62625993732077
183,ID,2013,9903580,82643,119.83567876287162
184,ID,2014,9975592,82643,120.70704112871023
185,ID,2015,10071204,82643,121.86396912019167
186,ID,2016,10183353,82643,123.22099875367545
187,IL,2000,1185497,55519,21.35299627154668
188,IL,2001,1213519,55519,21.85772438264378
189,IL,2002,1225948,55519,22.08159368864713
190,IL,2003,1239613,55519,22.327725643473407
191,IL,2004,1251154,55519,22.535600425079704
192,IL,2005,1273569,55519,22.93933608314271
193,IL,2006,1292729,55519,23.28444316360165
194,IL,2007,1309731,55519,23.590680667879464
195,IL,2008,1315675,55519,23.69774311496965
196,IL,2009,1332213,55519,23.99562312001297
197,IL,2010,1346717,55519,24.256867018498173
198,IL,2011,1364004,55519,24.568237900538556
199,IL,2012,1379562,55519,24.84846629081936
200,IL,2013,1395199,55519,25.130117617392244
201,IL,2014,1408822,55519,25.375493074442982
202,IL,2015,1415335,55519,25.492804265206505
203,IL,2016,1422999,55519,25.63084709739008
204,IN,2000,1251700,35826,34.93831295707028
205,IN,2001,1299430,35826,36.270585608217495
206,IN,2002,1319962,35826,36.84368894099258
207,IN,2003,1340372,35826,37.41338692569642
208,IN,2004,1363380,35826,38.05560207670407
209,IN,2005,1391802,35826,38.84893652654497
210,IN,2006,1428241,35826,39.86604700496846
211,IN,2007,1468669,35826,40.99450120024563
212,IN,2008,1505105,35826,42.011527940601795
213,IN,2009,1534320,35826,42.82699715290571
214,IN,2010,1554439,35826,43.38857254507899
215,IN,2011,1570819,35826,43.84578239267571
216,IN,2012,1584272,35826,44.22129179925194
217,IN,2013,1595910,35826,44.5461396750963
218,IN,2014,1612053,35826,44.99673421537431
219,IN,2015,1632248,35826,45.560430971919835
220,IN,2016,1652495,35826,46.125579188299
221,IA,2000,12128370,55857,217.1324990600999
222,IA,2001,12434161,55857,222.60703224304922
223,IA,2002,12488445,55857,223.578871045706
224,IA,2003,12525556,55857,224.24326404926867
225,IA,2004,12556006,55857,224.78840610845552
226,IA,2005,12589773,55857,225.3929319512326
227,IA,2006,12609903,55857,225.7533165046458
228,IA,2007,12643955,55857,226.36294466226255
