State,Year,Population
AK,2000,4369862
AZ,2000,619500
AR,2000,4778332
CA,2000,2551373
CO,2000,33145121
CT,2000,4056133
DE,2000,3282031
FL,2000,753538
GA,2000,519000
HI,2000,15111244
ID,2000,7788240
IL,2000,1185497
IN,2000,1251700
IA,2000,12128370
KS,2000,5942901
KY,2000,2869413
LA,2000,2654052
ME,2000,3960825
MD,2000,4372035
MA,2000,1253040
MI,2000,5171634
MN,2000,6175169
MS,2000,9863775
MO,2000,4775508
MT,2000,2768619
NE,2000,5468338
NV,2000,882779
NH,2000,1666028
NJ,2000,1809253
NM,2000,1201134
NY,2000,8143412
NC,2000,1739844
ND,2000,18196601
OH,2000,7650789
OK,2000,633666
OR,2000,11256654
PA,2000,3358044
RI,2000,3316154
SC,2000,11994016
SD,2000,990819
TN,2000,3885736
TX,2000,733133
UT,2000,5483535
VT,2000,20044141
VA,2000,2129836
WA,2000,593740
WV,2000,6872912
WI,2000,5756361
WY,2000,1806928
AK,2001,4452173
AZ,2001,627963
AR,2001,5160586
CA,2001,2678588
CO,2001,33987977
CT,2001,4326921
DE,2001,3411777
FL,2001,786373
GA,2001,572046
HI,2001,16047515
ID,2001,8227303
IL,2001,1213519
IN,2001,1299430
IA,2001,12434161
KS,2001,6091866
KY,2001,2929067
LA,2001,2693681
ME,2001,4049021
MD,2001,4471885
MA,2001,1277072
MI,2001,5311034
MN,2001,6361104
MS,2001,9952450
MO,2001,4933692
MT,2001,2848353
NE,2001,5607285
NV,2001,903773
NH,2001,1713820
NJ,2001,2018741
NM,2001,1239882
NY,2001,8430621
NC,2001,1821204
ND,2001,19001780
OH,2001,8081614
OK,2001,642023
OR,2001,11363543
PA,2001,3454365
RI,2001,3429708
SC,2001,12284173
SD,2001,1050268
TN,2001,4024223
TX,2001,755844
UT,2001,5703719
VT,2001,20944499
VA,2001,2244502
WA,2001,609618
WV,2001,7105817
WI,2001,5910512
WY,2001,1807021
AK,2002,4467634
AZ,2002,633714
AR,2002,5273477
CA,2002,2691571
CO,2002,34479458
CT,2002,4425687
DE,2002,3432835
FL,2002,795699
GA,2002,574504
HI,2002,16356966
ID,2002,8377038
IL,2002,1225948
IN,2002,1319962
IA,2002,12488445
KS,2002,6127760
KY,2002,2931997
LA,2002,2702162
ME,2002,4068132
MD,2002,4477875
MA,2002,1285692
MI,2002,5374691
MN,2002,6397634
MS,2002,9991120
MO,2002,4982796
MT,2002,2852994
NE,2002,5641142
NV,2002,906961
NH,2002,1719836
NJ,2002,2098399
NM,2002,1255517
NY,2002,8492671
NC,2002,1831690
ND,2002,19082838
OH,2002,8210122
OK,2002,639062
OR,2002,11387404
PA,2002,3467100
RI,2002,3467937
SC,2002,12298970
SD,2002,1057142
TN,2002,4064995
TX,2002,757972
UT,2002,5750789
VT,2002,21319622
VA,2002,2283715
WA,2002,612223
WV,2002,7198362
WI,2002,5985722
WY,2002,1801481
AK,2003,4480089
AZ,2003,642337
AR,2003,5396255
CA,2003,2705927
CO,2003,34871843
CT,2003,4490406
DE,2003,3458749
FL,2003,806169
GA,2003,573158
HI,2003,16689370
ID,2003,8508256
IL,2003,1239613
IN,2003,1340372
IA,2003,12525556
